fichier,source,methode,titre_cite_belkhayate,langue,mots,termes_belkhayate,hallucinations,score,fiabilite
"Akep8YPVvtw_le Cryptotrading, Chance pour le Maroc et l'Afrique ？ (Partie 2).txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,2590,2,0,76,VALIDE
BOENPfxIptU_Trading simple du Dow Jones avec les indicateurs Belkhayate.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,3509,12,0,90,VALIDE
BTCwkI-6hEk_Belkhayate Trading ： Vidéo 5.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,886,3,0,79,VALIDE
BmTI9ikj-QU_Belkhayate ： Lesson 39 - Suite de Hoffman System.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1372,7,0,90,VALIDE
D7eNz5H_rjo_Belkhayate ： Lesson 43.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1910,7,0,90,VALIDE
D7nqBVA4qMs_Belkhayate ： Lesson 44.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1055,4,0,82,VALIDE
FQVNykHxVnE_La feinte du Nasdaq n'échappe pas à Belkhayate Method.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2322,12,0,90,VALIDE
Fili1lujs6w_Belkhayate Trading ： Video16.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1346,4,0,82,VALIDE
IG-M_sIONDo_Belkhayate Trading ： Vidéo 9.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,777,1,0,73,VALIDE
INv2927O50k_Belkhayate Trading ： Vidéo 25 - Leçon 9.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1366,8,0,90,VALIDE
IbPrO-_SaX4_Belkhayate Trading ： Vidéo 6.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1361,3,0,79,VALIDE
J00s5ROFnKA_Comment Utiliser le Gravity Center ？ Leçon N°10.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1165,7,0,90,VALIDE
Ka8-o5-Fyhk_Belkhayate ： Lesson 42.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1267,5,0,85,VALIDE
KeWIHvECGCs_Belkhayate ： Lesson 27.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2573,10,0,90,VALIDE
L7fDaVLAn00_Trading WHEAT Market LIVE - 5 Days Challenge - Tuesday.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,681,6,0,88,VALIDE
LlWDHChUvo4_Belkhayate Trading ： Vidéo 4.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1266,6,0,88,VALIDE
MLwyVP4hqTk_Time Channels are Crucial in Trading.txt,belkhayate-youtube (chaine officielle),belkhayate,non,EN,1399,5,0,85,VALIDE
N0bYarUwb2U_Belkhayate ： Lesson 48 - Euro Analysis.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,607,3,0,79,VALIDE
NXmogBp8IAU_Belkhayate Trading ： Vidéo 19 - Leçon 3.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1718,6,0,88,VALIDE
OPLREJmtNsY_Belkhayate Trading ： Video18 - Leçon 2.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1207,4,0,82,VALIDE
PLkAPhUIs9g_Comment anticiper en bourse ？ Votre premier cours de Trading.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,2835,5,0,85,VALIDE
Plmyxm6qFq8_Belkhayate Gravity Center User Guide.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,EN,650,12,0,90,VALIDE
RiVuL0SySd4_Belkhayate Trading ： Vidéo 7.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1389,2,0,76,VALIDE
Ru7FYpBdrOA_Et si l’on trade le Pétrole ？ Extrait Live VIP 23 Mars 2022.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,566,4,0,82,VALIDE
SRtgsmfQda0_Extrait LIVE 04-08-2022 - Le trading et l'importance de la tendance.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,203,1,0,63,VALIDE
StGyS6POO_Q_Belkhayate Trading ： Vidéo 2.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,466,0,0,60,HORS_PERIMETRE
TAWkII5CI-k_Présentation de Belkhayate Gravity Center.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1497,11,0,90,VALIDE
TQ7hYcJx9OE_Pourquoi le nouveau Centre de Gravité est-il puissant ？ Leçon N°9.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1799,8,0,90,VALIDE
TZZ_oTmDy_M_Belkhayate ： Lesson 32.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2381,5,0,85,VALIDE
UPTGgaUXkcY_Belkhayate ： Lesson 33.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1587,2,0,76,VALIDE
VhA9PTPFFm4_Prendre de l'argent par force sur les marchés financiers.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,3886,6,0,88,VALIDE
"Wi02ocQPr4g_Extrait du LIVE VIP 17 MARS,  Préparation du Trading sur le Dow Jones et Discussion avec les membres.txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,940,5,0,85,VALIDE
XP1rqD_mbXY_Secrets du Stop Loss et Prise de profits. Leçon 13.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1614,6,0,88,VALIDE
Xw0utU-nqr4_Belkhayate Trading ： Vidéo 8.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1293,5,0,85,VALIDE
YE_lejWlhjo_Initiation  - Belkhayate Trading Class - Comment Bien Débuter  ⧸ Module 1.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1344,7,0,90,VALIDE
"YQDcopMt7ns_Trading sur le micro contrat de pétrole pour les examens  Leeloo, Uprofits, OneUp Trader et autres.txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,1549,8,0,90,VALIDE
YXB1LbMbsRw_Gagner de l'Argent avec Dignité. Leçon N° 11.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1272,1,0,73,VALIDE
Zu2Xl6cxYZs_Les marchés finissent toujours par plier et par répéter l'Histoire..txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,761,2,0,76,VALIDE
_Bbzx2lITEQ_Belkhayate Indicateurs sur Tradingview.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2791,11,0,90,VALIDE
_KTFJ5Reu2o_Belkhayate ： Lesson 26.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1236,6,0,88,VALIDE
_fJRsY1NLqs_Quel est le meilleur marché à trader ？ Extrait du live espace VIP..txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,888,3,0,79,VALIDE
_fswauljmZw_Belkhayate Trading ： Vidéo 11.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1107,2,0,76,VALIDE
_kXq6Ad8ZWk_Devenir un expert dans le Trading de l'OR.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1472,5,0,85,VALIDE
"_n--MPuEHfI_Extrait LIVE VIP du 11 Mars 2022 Un marché meilleur que le ZN, le Nasdaq, le Gold ...？.txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,625,3,0,79,VALIDE
a3iush59xuQ_Extrait LIVE 30-03-2022 - Le Scalping est-il rentable？.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1179,6,0,88,VALIDE
"aK2I-gHQFF4_95% du temps, les marchés cherchent à vous pièger ( en français).txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,866,2,0,76,VALIDE
aOT5VtgrqHU_Quelle est la meilleure moyenne mobile  Application en LIVE Trading EXTRAIT.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,497,8,0,80,VALIDE
ajTvB8oz4Ag_Gagner facilement de l'argent sur les marchés américains ？.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,4199,9,0,90,VALIDE
blcSPi1FedE_Belkhayate TREND Presentation.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,791,8,0,90,VALIDE
c-BVFgUtm4w_Belkhayate Trading ： Vidéo 20 - Leçon 4.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1820,6,0,88,VALIDE
cPlgiH886ys_Belkhayate Trading ： Vidéo 13.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1419,3,0,79,VALIDE
cob0Rl4nSOQ_Belkhayate ： Lesson 37.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,990,2,0,76,VALIDE
doUa5le9fFs_Identifier le trading range pour apprendre à laisser courir le gain.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,4093,16,0,90,VALIDE
enG01BznN_M_Belkhayate Trading ： Vidéo 10.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1101,0,0,70,VALIDE
fobOOfMKvuo_Extrait LIVE 30-07-2022 - Les lignes de tendance sont les piliers du trading.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,256,2,0,66,VALIDE
"gTgNe0P4SVw_Belkhayate Pivots Method, vos supports et résistances clé en main.txt",belkhayate-youtube (chaine officielle),belkhayate,oui,FR,5322,14,0,90,VALIDE
gZf43mkh40Q_Belkhayate Trading ： Vidéo 12.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1850,2,0,76,VALIDE
h0arZt3uW2k_Initiation au Trading Rapide de 1 a 2 Ticks ｜ Leçon N°5 ｜.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,2330,8,0,90,VALIDE
"hAP0V9bEDjM_Etudier la Technologie Bitcoin, Blockchain et les Cryptocurrencies.txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,1317,1,0,73,VALIDE
iHuxR_PIHS0_Belkhayate ： Lesson 50 - Dollar Collapse ？.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,755,3,0,79,VALIDE
igd1KJUr8so_Belkhayate ： Lesson 29.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,492,4,0,72,VALIDE
jJV61RzKm5U_Signal intéressant sur le Nasdaq.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1638,8,0,90,VALIDE
jv_1lPRd_cQ_Belkhayate Trading ： Vidéo 15.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1121,1,0,73,VALIDE
kCReRoqkFAc_Importance du Couloir Horaire en Trading.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,360,4,0,72,VALIDE
lDblHsix5n0_Belkhayate Trading ： Vidéo 14.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,713,2,0,76,VALIDE
lMvcK7NnykA_Belkhayate Trading ： Video 17 - Leçon 1.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2122,8,0,90,VALIDE
m7tNU-6p2Vs_Belkhayate ： Lesson 34.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,803,4,0,82,VALIDE
mD__ETBfH90_Belkhayate Trading ： Vidéo 23 - Leçon 7.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1055,4,0,82,VALIDE
mMHc-wkVT_8_Belkhayate ： Lesson 36 - Importante Vidéo pour le Trading.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,987,5,0,85,VALIDE
nR33NS1EPR0_Trading WHEAT Market LIVE - 5 Days Challenge - Wednesday.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1521,5,0,85,VALIDE
oEPSHUdIV0U_Mode d'Emploi de Belkhayate Centre de Gravité.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,686,12,0,90,VALIDE
ofefpzt2Dsk_Belkhayate Trading ： Vidéo 21 - Leçon 5.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1377,1,0,73,VALIDE
pX5_n4GxatA_Télécharger Gratuitement le Nouveau Belkhayate Indicateur 6 Dimensions Leçon N°8.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,673,5,0,85,VALIDE
paoq-wiUlwY_Belkhayate ： Lesson 47 - Oil Analysis.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,537,4,0,82,VALIDE
pe1PIKDUGIs_La Fausse Cassure devient votre Meilleur Trade.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1985,9,0,90,VALIDE
pqtbyMHXBJM_Extrait 2 du LIVE： Règles d'Or de la BELKHAYATE METHOD.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,321,3,0,69,VALIDE
rcp0tizXx8E_On attend quoi pour enseigner le Trading dans les Ecoles Africaines ？ Leçon N°4.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,915,1,0,73,VALIDE
sxRyv8LkAdQ_Belkhayate Trading ： Vidéo 3.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,769,2,0,76,VALIDE
t6Yp9yisaWw_Trader le Gold de manière simple et efficace ｜ Leçon N°7.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,926,8,0,90,VALIDE
tdI7tmyetJg_Belkhayate Trading ： Vidéo 24 - Leçon 8.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1484,7,0,90,VALIDE
uD4jdZrfgDc_Belkhayate Trading ： Vidéo 22 - Leçon 6.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2567,5,0,85,VALIDE
ubKv-05qdbU_Mode d'Emploi Belkhayate Gravité Center.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1684,22,0,90,VALIDE
uya06_CeE4c_Définir avec précision le Stop Loss & Profits - EXTRAIT LIVE VIP du 11 Mai 2022.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,1240,9,0,90,VALIDE
v1Z4lM3ZfU4_Comment Lire les Points Pivots et quel est leur secret ？ (Leçon N°3).txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,4001,12,0,90,VALIDE
vPMM9xpa83M_BELKHAYATE METHOD - Top 10 in TradingView - Foudroyant Témoignage de Lionel de l'ile Maurice.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,2321,9,0,90,VALIDE
vlgQJEE9dY0_Définir les 3 Etats d'un Marché Boursier. Leçon N°12.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,2427,10,0,90,VALIDE
w9bbZbBNHwM_Belkhayate Method ： Magnifique Signaux de Trading sur le Gold et Le Mini S&P.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1694,6,0,88,VALIDE
wGGOkodLZ9I_Impossible de Battre Les Algos Traders ？ Leçon N°14.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,2200,4,0,82,VALIDE
x5YAKyBbLcI_Belkhayate ： Lesson 49 - Analyse des Bons de Trésor Américain.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,822,5,0,85,VALIDE
xvEjcUCRWL4_Extrait LIVE 07-09-2022 - Le trading sur le carnet d'ordre.txt,belkhayate-youtube (chaine officielle),belkhayate,non,FR,396,1,0,63,VALIDE
y72lC3B5k2E_Belkhayate ： Lesson 31.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,1087,7,0,90,VALIDE
"yLhnXdeZn3k_Le Trading, la Pêche et le Couloir Horaire !.txt",belkhayate-youtube (chaine officielle),belkhayate,non,FR,434,1,0,63,VALIDE
yTpo7ATDF5o_Extraits des trades lives de l’Espace VIP de Belkhayate Method.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,763,4,0,82,VALIDE
yqzjMu-VSRo_Belkhayate ： Lesson 40 - Examples of Trades.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,570,3,0,79,VALIDE
zd9dVG6XRmU_Extrait 1 du LIVE： Règles d'Or de la BELKHAYATE METHOD.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,325,2,0,66,VALIDE
zrchM4JgqrA_Belkhayate ： Lesson 35.txt,belkhayate-youtube (chaine officielle),belkhayate,oui,FR,691,2,0,76,VALIDE
